Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Latitude,Longitude,Average Annual Temperature
Finland,Western Europe,7.84,0.03,7.9,7.78,10.78,9.5,72.0,9.5,4.0,1.9,2.43,1.45,1.11,0.74,0.69,0.12,0.48,3.25,63.2467777,25.9209164,2
Denmark,Western Europe,7.62,0.04,7.69,7.55,10.93,9.5,72.7,9.5,5.300000000000001,1.7999999999999998,2.43,1.5,1.11,0.76,0.69,0.21,0.48,2.87,55.670249,10.3333283,8
Switzerland,Western Europe,7.57,0.04,7.64,7.5,11.12,9.399999999999999,74.4,9.200000000000001,5.2,2.9,2.43,1.57,1.08,0.82,0.65,0.2,0.41,2.84,46.7985624,8.2319736,6
Iceland,Western Europe,7.55,0.06,7.67,7.44,10.88,9.8,73.0,9.6,6.6000000000000005,6.7,2.43,1.48,1.17,0.77,0.7,0.29,0.17,2.97,64.9841821,-18.1059013,2
Netherlands,Western Europe,7.46,0.03,7.52,7.41,10.93,9.399999999999999,72.4,9.1,6.799999999999999,3.4000000000000004,2.43,1.5,1.08,0.75,0.65,0.3,0.38,2.8,52.2434979,5.6343227,9
Norway,Western Europe,7.39,0.04,7.46,7.32,11.05,9.5,73.3,9.6,5.8999999999999995,2.7,2.43,1.54,1.11,0.78,0.7,0.25,0.43,2.58,64.5731537,11.52803643954819,2
Sweden,Western Europe,7.359999999999999,0.04,7.43,7.29,10.87,9.3,72.7,9.399999999999999,5.8999999999999995,2.4,2.43,1.48,1.06,0.76,0.68,0.24,0.45,2.68,60.1282,18.6435,2
Luxembourg,Western Europe,7.32,0.04,7.4,7.25,11.65,9.1,72.6,9.1,4.699999999999999,3.9000000000000004,2.43,1.75,1.0,0.76,0.64,0.17,0.35,2.65,49.6112768,6.129799,9
New Zealand,North America and ANZ,7.279999999999999,0.04,7.36,7.2,10.64,9.5,73.4,9.3,6.3,2.4,2.43,1.4,1.09,0.78,0.66,0.28,0.44,2.61,-41.5000831,172.8344077,11
Austria,Western Europe,7.27,0.04,7.34,7.2,10.91,9.3,73.3,9.1,5.4,4.8,2.43,1.49,1.06,0.78,0.64,0.22,0.29,2.78,47.59397,14.12456,6
Australia,North America and ANZ,7.18,0.04,7.26,7.1,10.8,9.399999999999999,73.9,9.1,6.6000000000000005,4.4,2.43,1.45,1.08,0.8,0.65,0.29,0.32,2.6,-24.7761086,134.755,22
Israel,Middle East and North Africa,7.16,0.03,7.22,7.09,10.58,9.399999999999999,73.5,8.0,5.300000000000001,7.5,2.43,1.38,1.07,0.79,0.51,0.21,0.12,3.08,31.0461,34.8516,19
Germany,Western Europe,7.16,0.04,7.23,7.08,10.87,9.0,72.5,8.8,5.1,4.6000000000000005,2.43,1.48,0.99,0.76,0.6,0.2,0.31,2.82,51.1657,10.4515,9
Canada,North America and ANZ,7.1,0.04,7.18,7.02,10.78,9.3,73.8,9.200000000000001,5.8999999999999995,4.2,2.43,1.45,1.04,0.8,0.65,0.25,0.34,2.58,61.0666922,-107.991707,-5
Ireland,Western Europe,7.08,0.04,7.16,7.01,11.34,9.5,72.4,8.8,5.8,3.5999999999999996,2.43,1.64,1.09,0.75,0.61,0.24,0.37,2.38,52.865196,-7.9794599,9
Costa Rica,Latin America and Caribbean,7.07,0.06,7.18,6.96,9.88,8.9,71.4,9.3,3.7,8.100000000000001,2.43,1.13,0.97,0.72,0.67,0.1,0.08,3.39,9.536456900000001,-84.17566257468567,25
United Kingdom,Western Europe,7.06,0.04,7.14,6.99,10.71,9.3,72.5,8.6,7.3,4.6000000000000005,2.43,1.42,1.06,0.76,0.58,0.34,0.31,2.6,54.7023545,-3.2765753,9
Czech Republic,Central and Eastern Europe,6.959999999999999,0.05,7.06,6.87,10.56,9.5,70.81,8.6,2.9000000000000004,8.7,2.43,1.37,1.09,0.7,0.58,0.05,0.05,3.12,49.7439047,15.3381061,8
United States of America,North America and ANZ,6.950000000000001,0.05,7.05,6.86,11.02,9.200000000000001,68.2,8.4,6.0,7.0,2.43,1.53,1.03,0.62,0.55,0.25,0.15,2.81,39.7837304,-100.445882,9
Belgium,Western Europe,6.83,0.03,6.9,6.77,10.82,9.1,72.2,7.800000000000001,3.5,6.5,2.43,1.46,1.0,0.75,0.49,0.09,0.19,2.86,50.6402809,4.6667145,10
France,Western Europe,6.69,0.04,6.76,6.62,10.7,9.399999999999999,74.0,8.2,3.5,5.699999999999999,2.43,1.42,1.08,0.8,0.54,0.09,0.24,2.52,46.603354,1.8883335,11
Bahrain,Middle East and North Africa,6.65,0.07,6.78,6.51,10.67,8.6,69.5,9.200000000000001,5.8999999999999995,7.199999999999999,2.43,1.41,0.9,0.66,0.66,0.25,0.14,2.63,26.0280409,50.55316820508136,27
Malta,Western Europe,6.6,0.04,6.69,6.52,10.67,9.3,72.2,9.3,6.3,6.5,2.43,1.41,1.06,0.75,0.66,0.28,0.18,2.27,35.8885993,14.4476911,19
Taiwan,East Asia,6.58,0.04,6.66,6.51,10.87,9.0,69.6,7.800000000000001,4.3,7.199999999999999,2.43,1.48,0.98,0.66,0.49,0.14,0.14,2.69,23.600028,120.767567,23
United Arab Emirates,Middle East and North Africa,6.559999999999999,0.04,6.64,6.48,11.08,8.4,67.33,9.3,5.700000000000001,5.8999999999999995,2.43,1.56,0.86,0.59,0.67,0.24,0.22,2.42,24.0002488,53.9994829,27
Saudi Arabia,Middle East and North Africa,6.49,0.06,6.6,6.38,10.74,8.9,66.6,8.8,3.5,6.800000000000001,2.43,1.44,0.96,0.57,0.6,0.09,0.16,2.67,25.6242618,42.3528328,25
Spain,Western Europe,6.49,0.04,6.57,6.41,10.57,9.3,74.7,7.6,4.2,7.4,2.43,1.38,1.06,0.83,0.46,0.14,0.12,2.51,39.3260685,-4.8379791,13
Italy,Western Europe,6.48,0.04,6.57,6.4,10.62,8.8,73.8,6.8999999999999995,4.2,8.7,2.43,1.39,0.94,0.8,0.38,0.13,0.05,2.79,42.6384261,12.674297,13
Slovenia,Central and Eastern Europe,6.46,0.04,6.55,6.38,10.53,9.5,71.4,9.5,4.0,8.100000000000001,2.43,1.36,1.09,0.72,0.69,0.12,0.08,2.39,46.1199444,14.8153333,9
